split,held_out,subset,model,n_test,rmse,mae,r2,pearson,spearman
lodo_004,ZOLINZA,exactly_one_unseen,xgboost_identity,6014,4.920011618584664,3.663679361637056,-0.009361655357839949,0.07829714596944812,0.024511645165496733
lodo_004,ZOLINZA,all,xgboost_identity_clip_train,6014,4.919672516646559,3.6626175440167756,-0.009222523695252782,0.07769253355159236,0.030203733766392283
lodo_004,ZOLINZA,central_abs_le_100,xgboost_identity_clip_train,6014,4.919672516646559,3.6626175440167756,-0.009222523695252782,0.07769253355159236,0.030203733766392283
lodo_004,ZOLINZA,exactly_one_unseen,xgboost_identity_clip_train,6014,4.919672516646559,3.6626175440167756,-0.009222523695252782,0.07769253355159236,0.030203733766392283
lodo_004,ZOLINZA,all,ridge_chemical_cell,6014,5.416556382890001,4.1256430380230995,-0.22337917111863193,0.10468041091824459,0.1015273160667493
lodo_004,ZOLINZA,central_abs_le_100,ridge_chemical_cell,6014,5.416556382890001,4.1256430380230995,-0.22337917111863193,0.10468041091824459,0.1015273160667493
lodo_004,ZOLINZA,exactly_one_unseen,ridge_chemical_cell,6014,5.416556382890001,4.1256430380230995,-0.22337917111863193,0.10468041091824459,0.1015273160667493
lodo_004,ZOLINZA,all,ridge_chemical_cell_clip_train,6014,5.412791545155993,4.12254832715231,-0.22167911555699882,0.10459169513696148,0.10150528121826657
lodo_004,ZOLINZA,central_abs_le_100,ridge_chemical_cell_clip_train,6014,5.412791545155993,4.12254832715231,-0.22167911555699882,0.10459169513696148,0.10150528121826657
lodo_004,ZOLINZA,exactly_one_unseen,ridge_chemical_cell_clip_train,6014,5.412791545155993,4.12254832715231,-0.22167911555699882,0.10459169513696148,0.10150528121826657
lodo_004,ZOLINZA,all,xgboost_chemical_cell,6014,5.057040339824907,3.7820228664961695,-0.0663686812965254,0.01960413896182205,-0.006993392247258378
lodo_004,ZOLINZA,central_abs_le_100,xgboost_chemical_cell,6014,5.057040339824907,3.7820228664961695,-0.0663686812965254,0.01960413896182205,-0.006993392247258378
lodo_004,ZOLINZA,exactly_one_unseen,xgboost_chemical_cell,6014,5.057040339824907,3.7820228664961695,-0.0663686812965254,0.01960413896182205,-0.006993392247258378
lodo_004,ZOLINZA,all,xgboost_chemical_cell_clip_train,6014,5.063994467888432,3.7882542286193313,-0.06930350587957812,0.015276905789923712,-0.007080046381112401
lodo_004,ZOLINZA,central_abs_le_100,xgboost_chemical_cell_clip_train,6014,5.063994467888432,3.7882542286193313,-0.06930350587957812,0.015276905789923712,-0.007080046381112401
lodo_004,ZOLINZA,exactly_one_unseen,xgboost_chemical_cell_clip_train,6014,5.063994467888432,3.7882542286193313,-0.06930350587957812,0.015276905789923712,-0.007080046381112401
lodo_004,ZOLINZA,all,xgboost_chemical_only_clip_train,6014,5.076054653827249,3.7984739494132747,-0.07440278292627922,-0.0011907994302003313,-0.020739499614204446
lodo_004,ZOLINZA,central_abs_le_100,xgboost_chemical_only_clip_train,6014,5.076054653827249,3.7984739494132747,-0.07440278292627922,-0.0011907994302003313,-0.020739499614204446
